airport_id,ident,name,city,tower_frequency,is_closed,num_runway_water,num_helipad,longest_runway_length,longest_runway_width,num_runways,rating,altitude,lonx,laty
66239,ZLIL,Liulihe Airport,Liulihe,None,0,0,0,3278,148,2,3,115,116.0006104,39.45663452
66249,ZBXZ,Xinzhou Wutaishan Airport,Jinchang,None,0,0,0,8208,154,1,3,2545,112.9686203,38.59801102
66250,ZBAG,Baoding Airport,Baoding,None,0,0,0,7714,147,1,3,375,115.2880554,39.14971161
66251,ZBSJ,Zhengding,Shijiazhuang,118.350Mhz,0,0,0,11149,139,1,4,226,114.6971893,38.28076553
66252,ZBYN,Wusu,Taiyuan,118.250Mhz,0,0,0,11789,142,1,3,2564,112.6305313,37.74569321
66253,ZLUA,Luancheng Airport,Luancheng,None,0,0,0,3275,149,2,3,192,114.5765381,37.77962875
66254,ZLUN,Luancheng Airport,Luancheng,None,0,0,0,3932,98,1,3,188,114.591629,37.91296387
66255,ZXIH,Jiugucheng Air Base,Xinhu,None,0,0,0,8528,164,1,3,66,116.1167603,37.49114609
66256,ZBXT,Xingtai Dalian Airport,Shahecheng,None,0,0,0,8534,241,1,3,286,114.4293137,36.8830719
66265,ZBCZ,Changzhi Airport,Daxinzhuang,None,0,0,0,8328,148,1,3,3017,113.1260071,36.24733734
66266,ZHAY,Anyang Airport,Anyang,None,0,0,0,3285,193,2,3,216,114.3403625,36.13426971
66267,ZBHD,Handan Airport,Handan,None,0,0,0,7209,127,1,3,227,114.4254074,36.52594757
66268,HSJ,Shangjie Airport,Gongyi,None,0,0,0,6543,124,1,3,455,113.2739563,34.8421402
66269,ZHCC,Xinzheng,Zhengzhou,118.075Mhz,0,0,0,11168,145,1,3,488,113.841156,34.51935196
66270,ZKAI,Kaifeng Air Base,Kaifeng,None,0,0,0,8531,147,1,3,242,114.3377457,34.75323868
66271,ZZHE,Zhengzhou Air Base,Zhengzhou,None,0,0,0,8491,158,1,3,289,113.730011,34.86296463
66272,ZSHA,Shangqiu Air Base,Shangqiu,None,0,0,0,7874,142,1,3,162,115.4593124,34.44950867
66281,ZRAA,Luyang Air Base,Ranghe,None,0,0,0,7217,148,1,3,461,112.8905411,33.68548965
66282,ZHNY,Nanyang Jiangying Airport,Huancheng,None,0,0,0,9184,144,1,3,406,112.6174622,32.98268127
66283,ZMII,Queshan Air Base,Minggang,None,0,0,0,8858,135,1,3,314,114.0791321,32.54081726
66284,ZSFY,Fuyang Xiguan Airport,Fuyang,None,0,0,0,7867,143,1,3,105,115.7342529,32.88206482
66285,ZBAL,Baolin Airport,Baolin,None,0,0,0,7078,143,1,3,357,113.8178024,31.66329956
66286,ZCHH,Xiaogan Air Base,Chezhan,None,0,0,0,4895,138,1,3,91,113.9121017,30.95391846
66293,ZHHH,Tianhe,Wuhan,118.025Mhz,0,0,0,11143,135,1,3,101,114.2081757,30.78369904
66294,ZHEG,Henggouqiao Airport,Henggouqiao,None,0,0,0,7853,126,1,3,157,114.3143845,30.08740234
66295,ZGUA,Guanshang Airport,Guanshang,None,0,0,0,9824,154,1,3,143,114.6314926,30.67430305
66296,ZGHA,Huanghua,Changsha,118.025Mhz,0,0,0,10472,147,1,3,204,113.2195969,28.19182777
66297,ZSCN,Changbei,Nanchang,118.650Mhz,0,0,0,9169,142,1,3,126,115.901413,28.86235428
66298,ZMAA,Mahuiling Air Base,Mahuiling,None,1,0,0,9182,161,1,3,154,115.8016205,29.47721291
66299,ZXIT,Nanchang Xiangtang Air Base,Xiangtang,None,0,0,0,8167,160,1,3,84,115.9234467,28.42155266
66307,ZDAT,Changsha Datuopu Airport/AFB,Datuo,None,0,0,0,8561,161,1,3,155,112.9572983,28.06924438
66308,ZSYC,Yichun Mingyueshan Airport,Hutian,None,0,0,0,7865,137,1,0,411,114.3063278,27.8024826
66309,ZLEE,Leiyang Air Base,Leiyang,None,0,0,0,9837,164,1,3,297,112.8928528,26.58680534
66313,ZGMX,Changgangji,None,118.150Mhz,0,0,0,5899,122,1,3,288,116.0997009,24.26541138
